ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,预测标签,建议,成交金额(亿),模型信心分,波动率,预测得分,综合评分
300164.SZ,20250616,6.07,0.1996047430830041,0.4591346153846154,1.065736154885187,1.115720009427292,2.533301291535986,0.1202635914332784,0.1101115767895375,1.91,2.7715519185592314,0.2,1987508.925,0.0,4.6e-05,0,❌ 不建议买入,198.7508925,0.0,11.01,45.91,18.92
300875.SZ,20250616,37.72,0.2001272669424116,0.4530046224961479,0.9782153191206306,0.9874271901700434,1.7491395497758295,0.0972958642629905,0.147904563629884,11.759999999999998,2.070289123737102,0.8,683601.32,0.0,5e-05,0,❌ 不建议买入,68.360132,0.0,14.79,45.3,18.53
300645.SZ,20250616,20.64,0.1180931744312026,0.3578947368421052,1.054020413243714,1.1131852241356646,2.3678333529799653,0.1642441860465116,0.0911500970106772,5.440000000000001,2.5549240463289142,0.8,1045857.746,0.0,5.1e-05,0,❌ 不建议买入,104.58577460000001,0.01,9.12,35.79,14.83
002878.SZ,20250616,27.42,0.0998796630565583,0.3310679611650484,1.1171470444553004,1.2577274227257729,1.01452852408591,0.088256746900073,0.0556573038329768,6.82,1.2161342046835937,0.8,1955962.557,0.0,4.1e-05,0,❌ 不建议买入,195.5962557,0.0,5.57,33.11,13.49
300157.SZ,20250616,5.07,0.0741525423728814,0.3033419023136248,1.0526315789473686,1.1021402024862232,2.30751616148423,0.1045364891518738,0.0925268058810283,1.1800000000000002,2.5717088242810267,0.6,1426053.12,0.0,4.4e-05,0,❌ 不建议买入,142.605312,0.0,9.25,30.33,12.65
300682.SZ,20250616,20.47,0.1998827667057445,0.3063178047223993,1.0082791247782377,1.067426281850623,1.6755171350242295,0.1660967269174401,0.0896234378041835,4.799999999999999,1.7984619529481536,0.4,2195885.316,0.0,5e-05,0,❌ 不建议买入,219.5885316,0.0,8.96,30.63,12.61
002365.SZ,20250616,27.05,0.0712871287128713,0.2967401725790988,1.0812775430466584,1.140556860114056,1.3258101572130294,0.0924214417744916,0.0785252135371837,6.190000000000001,1.5120452363059127,0.8,2063245.937,0.0,4.3e-05,0,❌ 不建议买入,206.32459369999998,0.0,7.85,29.67,12.17
600980.SH,20250616,29.0,0.0533962949509625,0.2747252747252746,1.1811566811566812,1.3153034647865092,3.6537445795956174,0.12,0.0208641686385674,6.25,3.846340252590752,0.2,1913464.389,0.0,3.9e-05,0,❌ 不建议买入,191.3464389,0.0,2.09,27.47,11.76
600281.SH,20250616,7.68,0.0578512396694215,0.28,1.1236376021798364,1.176428635107426,1.5309790786573088,0.1875,0.0508197389379392,1.6799999999999995,1.6255862815124602,0.8,1198980.956,0.0,5.5e-05,0,❌ 不建议买入,119.8980956,0.01,5.08,28.0,11.53
300581.SZ,20250616,16.98,0.0733249051833122,0.2728635682158922,1.027351756307866,1.0315804414165068,1.8586866041447472,0.0942285041224969,0.0995594102262943,3.640000000000001,2.0812190422262926,0.4,2313431.742,0.0,4.5e-05,0,❌ 不建议买入,231.34317420000002,0.0,9.96,27.29,11.33
